Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign Up,Chrome 95.0.4638.54,,,2021-10-30 16:28:33,2021-10-30 16:29:22,48.590s,PASSED
,,,,,,,
Test Cases/Sign Up Brick - Failed,Chrome 95.0.4638.54,,,2021-10-30 16:28:34,2021-10-30 16:28:56,22.506s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-30 16:28:34,2021-10-30 16:28:37,3.116s,PASSED
navigateToUrl(url),Chrome 95.0.4638.54,,,2021-10-30 16:28:37,2021-10-30 16:28:43,5.554s,PASSED
"click(findTestObject(""Page_Brick Sign Up Form/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 16:28:43,2021-10-30 16:28:43,0.509s,PASSED
"verifyElementVisible(findTestObject(""Page_Brick Sign Up Form/errorFirstName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:28:43,2021-10-30 16:28:44,0.545s,PASSED
"verifyElementVisible(findTestObject(""Page_Brick Sign Up Form/errorLastName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:28:44,2021-10-30 16:28:44,0.389s,PASSED
"verifyElementVisible(findTestObject(""Page_Brick Sign Up Form/errorEmail""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:28:44,2021-10-30 16:28:45,0.372s,PASSED
"verifyElementVisible(findTestObject(""Page_Brick Sign Up Form/errorPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:28:45,2021-10-30 16:28:45,0.379s,PASSED
"verifyElementVisible(findTestObject(""Page_Brick Sign Up Form/errorConfirmPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:28:45,2021-10-30 16:28:45,0.394s,PASSED
"setText(findTestObject(""Page_Brick Sign Up Form/firstNameField""), ""aisyah"")",Chrome 95.0.4638.54,,,2021-10-30 16:28:45,2021-10-30 16:28:46,0.737s,PASSED
"setText(findTestObject(""Page_Brick Sign Up Form/lastNameField""), ""syahidah"")",Chrome 95.0.4638.54,,,2021-10-30 16:28:46,2021-10-30 16:28:47,0.862s,PASSED
"setText(findTestObject(""Page_Brick Sign Up Form/emailField""), ""aisyah87$%@gmail.com"")",Chrome 95.0.4638.54,,,2021-10-30 16:28:47,2021-10-30 16:28:48,0.856s,PASSED
"click(findTestObject(""Page_Brick Sign Up Form/errorEmail""))",Chrome 95.0.4638.54,,,2021-10-30 16:28:48,2021-10-30 16:28:48,0.512s,PASSED
