Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentication,Chrome 95.0.4638.54,,,2021-10-30 16:56:55,2021-10-30 16:58:16,1m - 21.006s,PASSED
,,,,,,,
Test Cases/Sign Up Brick - Failed,Chrome 95.0.4638.54,,,2021-10-30 16:56:55,2021-10-30 16:57:17,21.437s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-30 16:56:56,2021-10-30 16:56:59,3.563s,PASSED
navigateToUrl(url),Chrome 95.0.4638.54,,,2021-10-30 16:56:59,2021-10-30 16:57:02,3.122s,PASSED
"click(findTestObject(""Sign Up Page - Brick/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 16:57:02,2021-10-30 16:57:03,0.507s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorFirstName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:57:03,2021-10-30 16:57:03,0.535s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorLastName""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:57:03,2021-10-30 16:57:04,0.370s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorEmail""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:57:04,2021-10-30 16:57:04,0.391s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:57:04,2021-10-30 16:57:05,0.458s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorConfirmPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:57:05,2021-10-30 16:57:05,0.404s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/firstNameField""), ""aisyah"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:05,2021-10-30 16:57:06,0.748s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/lastNameField""), ""syahidah"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:06,2021-10-30 16:57:07,0.846s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah87$%@gmail.com"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:07,2021-10-30 16:57:07,0.892s,PASSED
"click(findTestObject(""Sign Up Page - Brick/errorEmail""))",Chrome 95.0.4638.54,,,2021-10-30 16:57:07,2021-10-30 16:57:08,0.520s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah@gmail.c"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:08,2021-10-30 16:57:09,1.045s,PASSED
"click(findTestObject(""Sign Up Page - Brick/errorEmail""))",Chrome 95.0.4638.54,,,2021-10-30 16:57:09,2021-10-30 16:57:10,0.529s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), ""aisyah@gmail.com"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:10,2021-10-30 16:57:11,1.020s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/phoneNumberField""), ""+6282643767"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:11,2021-10-30 16:57:11,0.841s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/addressField""), ""sawangan"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:11,2021-10-30 16:57:12,0.720s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/passField""), ""NOZHw6sL/1I="")",Chrome 95.0.4638.54,,,2021-10-30 16:57:12,2021-10-30 16:57:13,0.601s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:57:13,2021-10-30 16:57:13,0.456s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/passField""), ""8SQVv/p9jVScEs4/2CZsLw=="")",Chrome 95.0.4638.54,,,2021-10-30 16:57:13,2021-10-30 16:57:14,0.854s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/confirmPassField""), ""NOZHw6sL/1I="")",Chrome 95.0.4638.54,,,2021-10-30 16:57:14,2021-10-30 16:57:15,0.590s,PASSED
"click(findTestObject(""Sign Up Page - Brick/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 16:57:15,2021-10-30 16:57:15,0.541s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/errorConfirmPass""), CONTINUE_ON_FAILURE)",Chrome 95.0.4638.54,,,2021-10-30 16:57:15,2021-10-30 16:57:16,0.714s,PASSED
closeBrowser(),Chrome 95.0.4638.54,,,2021-10-30 16:57:16,2021-10-30 16:57:17,0.630s,PASSED
,,,,,,,
Test Cases/Sign Up Brick - Success,Chrome 95.0.4638.54,,,2021-10-30 16:57:17,2021-10-30 16:57:33,16.444s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-30 16:57:17,2021-10-30 16:57:19,1.373s,PASSED
navigateToUrl(url),Chrome 95.0.4638.54,,,2021-10-30 16:57:19,2021-10-30 16:57:24,5.082s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/firstNameField""), ""Aisyah"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:24,2021-10-30 16:57:24,0.775s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/lastNameField""), ""Syahidah"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:24,2021-10-30 16:57:25,0.766s,PASSED
"randomMail = ""testingauto"" + RandomStringUtils.randomAlphanumeric(2) + ""@mymail.com""",Chrome 95.0.4638.54,,,2021-10-30 16:57:25,2021-10-30 16:57:25,0.014s,PASSED
"map.put(""email"", randomMail)",Chrome 95.0.4638.54,,,2021-10-30 16:57:25,2021-10-30 16:57:25,0.025s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/emailField""), randomMail)",Chrome 95.0.4638.54,,,2021-10-30 16:57:25,2021-10-30 16:57:26,0.914s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/phoneNumberField""), ""+6285747026"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:26,2021-10-30 16:57:27,1.076s,PASSED
"setText(findTestObject(""Sign Up Page - Brick/addressField""), ""sawangan"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:27,2021-10-30 16:57:28,0.723s,PASSED
"password = ""8SQVv/p9jVScEs4/2CZsLw==""",Chrome 95.0.4638.54,,,2021-10-30 16:57:28,2021-10-30 16:57:28,0.001s,PASSED
"map.put(""password"", password)",Chrome 95.0.4638.54,,,2021-10-30 16:57:28,2021-10-30 16:57:28,0.000s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/passField""), password)",Chrome 95.0.4638.54,,,2021-10-30 16:57:28,2021-10-30 16:57:29,0.581s,PASSED
"setEncryptedText(findTestObject(""Sign Up Page - Brick/confirmPassField""), password)",Chrome 95.0.4638.54,,,2021-10-30 16:57:29,2021-10-30 16:57:29,0.601s,PASSED
"click(findTestObject(""Sign Up Page - Brick/registerBtn""))",Chrome 95.0.4638.54,,,2021-10-30 16:57:29,2021-10-30 16:57:31,2.012s,PASSED
"verifyEqual(getText(findTestObject(""Sign Up Page - Brick/successMsg"")), ""Success"")",Chrome 95.0.4638.54,,,2021-10-30 16:57:31,2021-10-30 16:57:32,0.513s,PASSED
"verifyElementVisible(findTestObject(""Sign Up Page - Brick/checkEmailNotice""))",Chrome 95.0.4638.54,,,2021-10-30 16:57:32,2021-10-30 16:57:32,0.364s,PASSED
"click(findTestObject(""Sign Up Page - Brick/okBtn""))",Chrome 95.0.4638.54,,,2021-10-30 16:57:32,2021-10-30 16:57:32,0.376s,PASSED
closeBrowser(),Chrome 95.0.4638.54,,,2021-10-30 16:57:32,2021-10-30 16:57:33,0.642s,PASSED
,,,,,,,
Test Cases/Sign Up Brick - Error Email,Chrome 95.0.4638.54,,,2021-10-30 16:57:33,2021-10-30 16:57:47,14.046s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-30 16:57:33,2021-10-30 16:57:35,1.352s,PASSED
navigateToUrl(url),Chrome 95.0.4638.54,,,2021-10-30 16:57:35,2021-10-30 16:57:39,3.949s,PASSED
